MMWR_Week,MMWR_Year,BeaRegionName,Jurisdiction,AllCause,COVID19_multi,Flu_Pneumonia,ChronicLowerResp,OtherRespiratory
1,2020,Southwest,Arizona,1299,0,30,90,17
2,2020,Southwest,Arizona,1390,0,26,86,20
3,2020,Southwest,Arizona,1315,0,32,74,30
4,2020,Southwest,Arizona,1275,0,36,76,24
5,2020,Southwest,Arizona,1264,0,34,75,19
6,2020,Southwest,Arizona,1262,0,31,78,17
7,2020,Southwest,Arizona,1310,0,32,88,18
8,2020,Southwest,Arizona,1339,0,31,83,16
9,2020,Southwest,Arizona,1352,0,33,84,27
10,2020,Southwest,Arizona,1378,0,29,78,29
11,2020,Southwest,Arizona,1349,0,32,102,27
12,2020,Southwest,Arizona,1287,,37,79,30
13,2020,Southwest,Arizona,1323,31,37,81,19
14,2020,Southwest,Arizona,1355,58,25,78,26
15,2020,Southwest,Arizona,1401,91,26,83,28
16,2020,Southwest,Arizona,1312,96,22,74,13
17,2020,Southwest,Arizona,1383,106,18,64,25
18,2020,Southwest,Arizona,1395,104,24,74,13
19,2020,Southwest,Arizona,1425,127,16,76,20
20,2020,Southwest,Arizona,1303,117,17,64,23
21,2020,Southwest,Arizona,1284,95,14,58,22
22,2020,Southwest,Arizona,1307,113,17,73,20
23,2020,Southwest,Arizona,1397,132,16,62,14
24,2020,Southwest,Arizona,1459,170,13,72,26
25,2020,Southwest,Arizona,1542,203,12,81,30
26,2020,Southwest,Arizona,1607,252,16,68,27
27,2020,Southwest,Arizona,1755,365,23,68,27
28,2020,Southwest,Arizona,1926,478,36,78,43
29,2020,Southwest,Arizona,1946,534,29,68,28
30,2020,Southwest,Arizona,1807,454,16,58,21
31,2020,Southwest,Arizona,1712,376,28,70,20
32,2020,Southwest,Arizona,1456,266,18,63,13
33,2020,Southwest,Arizona,1182,162,16,42,15
1,2020,Far West,California,5886,0,187,274,80
2,2020,Far West,California,5869,0,166,285,86
3,2020,Far West,California,5826,,216,313,81
4,2020,Far West,California,5827,0,188,279,80
5,2020,Far West,California,5682,0,173,284,81
6,2020,Far West,California,5910,,188,325,72
7,2020,Far West,California,5581,0,187,296,43
8,2020,Far West,California,5796,,189,316,73
9,2020,Far West,California,5678,0,177,314,70
10,2020,Far West,California,5730,,198,297,70
11,2020,Far West,California,5458,,169,290,60
12,2020,Far West,California,5672,44,198,283,78
13,2020,Far West,California,5684,130,181,293,56
14,2020,Far West,California,5973,289,167,290,60
15,2020,Far West,California,6038,381,128,292,61
16,2020,Far West,California,6122,533,126,277,59
17,2020,Far West,California,5928,526,121,265,51
18,2020,Far West,California,5734,542,90,266,51
19,2020,Far West,California,5657,550,84,258,48
20,2020,Far West,California,5675,499,79,239,50
21,2020,Far West,California,5518,484,77,219,52
22,2020,Far West,California,5578,457,99,235,40
23,2020,Far West,California,5494,442,84,202,46
24,2020,Far West,California,5537,441,82,211,49
25,2020,Far West,California,5447,451,79,207,51
26,2020,Far West,California,5648,481,89,216,42
27,2020,Far West,California,5836,613,78,230,48
28,2020,Far West,California,5935,705,106,212,46
29,2020,Far West,California,6111,847,90,212,41
30,2020,Far West,California,6059,948,90,226,42
31,2020,Far West,California,5978,901,90,228,51
32,2020,Far West,California,5617,798,69,193,34
33,2020,Far West,California,4203,409,70,173,36
1,2020,Southeast,Florida,4341,0,87,265,59
2,2020,Southeast,Florida,4407,0,87,288,63
3,2020,Southeast,Florida,4385,0,76,287,66
4,2020,Southeast,Florida,4387,0,89,282,55
5,2020,Southeast,Florida,4419,0,76,268,66
6,2020,Southeast,Florida,4385,0,79,255,65
7,2020,Southeast,Florida,4359,0,86,286,64
8,2020,Southeast,Florida,4416,0,78,251,60
9,2020,Southeast,Florida,4399,0,79,263,59
10,2020,Southeast,Florada,4519,,90,287,42
11,2020,Southeast,Florida,4435,,85,273,65
12,2020,Southeast,Florida,4362,17,101,276,60
13,2020,Southeast,Florida,4461,92,87,249,75
14,2020,Southeast,Florida,4497,217,91,257,57
15,2020,Southeast,Florida,4543,302,72,234,50
16,2020,Southeast,Florida,4416,309,59,225,41
17,2020,Southeast,Florida,4552,321,60,255,36
18,2020,Southeast,Florida,4350,306,50,204,49
19,2020,Southeast,Florida,4405,289,60,216,52
20,2020,Southeast,Florida,4278,257,57,233,38
21,2020,Southeast,Florida,4359,232,53,215,40
22,2020,Southeast,Florida,4207,230,44,186,44
23,2020,Southeast,Florida,4264,217,50,210,43
24,2020,Southeast,Florida,4256,192,46,203,48
25,2020,Southeast,Florida,4404,217,48,218,43
26,2020,Southeast,Florida,4494,312,43,211,51
27,2020,Southeast,Florida,4706,440,62,203,50
28,2020,Southeast,Florida,5053,738,51,234,53
29,2020,Southeast,Florida,5416,1091,62,218,52
30,2020,Southeast,Florida,5527,1222,59,214,46
31,2020,Southeast,Florida,5406,1160,60,218,38
32,2020,Southeast,Florida,4821,913,37,185,44
33,2020,Southeast,Florida,3766,465,27,174,30
1,2020,Great Lakes,Illinois,2189,,44,106,43
2,2020,Great Lakes,Illinois,2250,0,57,131,27
3,2020,Great Lakes,Illinois,2231,,62,116,39
4,2020,Great Lakes,Illinois,2198,0,55,110,21
5,2020,Great Lakes,Illinois,2138,0,72,120,26
6,2020,Great Lakes,Illinois,2231,0,52,117,32
7,2020,Great Lakes,Illinois,2218,0,61,117,32
8,2020,Great Lakes,Illinois,2206,0,63,118,40
9,2020,Great Lakes,Illinois,2209,0,62,110,36
10,2020,Great Lakes,Illinois,2252,0,92,134,27
11,2020,Great Lakes,Illinois,2192,,87,98,38
12,2020,Great Lakes,Illinois,2282,14,83,126,33
13,2020,Great Lakes,Illinois,2299,73,81,129,40
14,2020,Great Lakes,Illinois,2621,296,77,125,31
15,2020,Great Lakes,Illinois,2869,471,55,124,24
16,2020,Great Lakes,Illinois,2910,587,73,123,28
17,2020,Great Lakes,Illinois,3005,674,50,107,33
18,2020,Great Lakes,Illinois,2946,738,52,118,26
19,2020,Great Lakes,Illinois,2958,787,51,101,30
20,2020,Great Lakes,Illinois,2861,695,37,88,29
21,2020,Great Lakes,Illinois,2631,568,48,90,32
22,2020,Great Lakes,Illinois,2541,468,35,113,21
23,2020,Great Lakes,Illinois,2505,424,25,80,31
24,2020,Great Lakes,Illinois,2263,317,25,87,21
25,2020,Great Lakes,Illinois,2244,262,25,90,16
26,2020,Great Lakes,Illinois,2126,150,30,85,27
27,2020,Great Lakes,Illinois,2169,140,34,88,26
28,2020,Great Lakes,Illinois,2163,109,36,86,23
29,2020,Great Lakes,Illinois,2057,87,28,69,19
30,2020,Great Lakes,Illinois,1998,80,24,78,15
31,2020,Great Lakes,Illinois,2016,81,31,57,22
32,2020,Great Lakes,Illinois,2037,91,36,91,17
33,2020,Great Lakes,Illinois,1815,63,28,81,13
1,2020,New England,Massachusetts,1238,0,34,57,18
2,2020,New England,Massachusetts,1266,0,36,62,19
3,2020,New England,Massachusetts,1189,0,34,55,20
4,2020,New England,Massachusetts,1301,0,50,63,27
5,2020,New England,Massachusetts,1204,0,47,64,16
6,2020,New England,Massachusetts,1232,0,44,48,19
7,2020,New England,Massachusetts,1250,0,42,62,30
8,2020,New England,Massachusetts,1165,,41,67,19
9,2020,New England,Massachusetts,1278,0,44,71,26
10,2020,New England,Massachusetts,1213,,39,67,21
11,2020,New England,Massachusetts,1310,0,43,57,27
12,2020,New England,Massachusetts,1169,,40,51,24
13,2020,New England,Massachusetts,1287,49,42,66,20
14,2020,New England,Massachusetts,1549,229,52,75,32
15,2020,New England,Massachusetts,2036,639,61,67,30
16,2020,New England,Massachusetts,2492,1106,55,74,35
17,2020,New England,Massachusetts,2533,1235,38,50,38
18,2020,New England,Massachusetts,2303,1119,33,50,26
19,2020,New England,Massachusetts,2066,936,26,63,22
20,2020,New England,Massachusetts,1878,783,37,47,23
21,2020,New England,Massachusetts,1573,527,23,42,16
22,2020,New England,Massachusetts,1351,384,19,44,13
23,2020,New England,Massachusetts,1233,243,17,51,19
24,2020,New England,Massachusetts,1136,180,23,42,10
25,2020,New England,Massachusetts,1122,131,20,41,13
26,2020,New England,Massachusetts,1076,93,17,39,14
27,2020,New England,Massachusetts,1041,67,12,48,13
28,2020,New England,Massachusetts,1040,58,,40,14
29,2020,New England,Massachusetts,1052,35,11,42,14
30,2020,New England,Massachusetts,1070,36,10,29,21
31,2020,New England,Massachusetts,1003,29,,29,14
32,2020,New England,Massachusetts,948,27,,25,11
33,2020,New England,Massachusetts,909,16,12,33,23
1,2020,Great Lakes,Michigan,2013,0,42,133,21
2,2020,Great Lakes,Michigan,2064,0,39,161,37
3,2020,Great Lakes,Michigan,1936,0,42,123,22
4,2020,Great Lakes,Michigan,2007,0,36,120,28
5,2020,Great Lakes,Michigan,2002,0,46,142,25
6,2020,Great Lakes,Michigan,1937,0,54,119,31
7,2020,Great Lakes,Michigan,2010,0,55,111,33
8,2020,Great Lakes,Michigan,2054,0,61,129,28
9,2020,Great Lakes,Michigan,1969,0,51,125,16
10,2020,Great Lakes,Michigan,1983,0,53,134,31
11,2020,Great Lakes,Michigan,1949,,60,131,27
12,2020,Great Lakes,Michigan,2030,21,65,100,17
13,2020,Great Lakes,Michigan,2423,231,75,138,31
14,2020,Great Lakes,Michigan,3106,676,100,148,22
15,2020,Great Lakes,Michigan,3375,968,69,134,32
16,2020,Great Lakes,Michigan,3146,970,52,128,28
17,2020,Great Lakes,Michigan,2798,773,53,122,31
18,2020,Great Lakes,Michigan,2581,591,33,128,18
19,2020,Great Lakes,Michigan,2230,445,39,103,25
20,2020,Great Lakes,Michigan,2154,289,35,85,21
21,2020,Great Lakes,Michigan,2005,229,25,83,14
22,2020,Great Lakes,Michigan,1947,171,25,85,24
23,2020,Great Lakes,Michigan,1976,115,21,91,18
24,2020,Great Lakes,Michigan,1840,76,15,84,16
25,2020,Great Lakes,Michigan,1862,56,26,91,16
26,2020,Great Lakes,Michigan,1895,45,27,94,22
27,2020,Great Lakes,Michigan,1958,40,14,96,18
28,2020,Great Lakes,Michigan,1859,39,19,77,15
29,2020,Great Lakes,Michigan,1839,33,12,108,18
30,2020,Great Lakes,Michigan,1843,35,23,89,20
31,2020,Great Lakes,Michigan,1876,48,15,103,22
32,2020,Great Lakes,Michigan,1702,33,22,90,14
33,2020,Great Lakes,Michigan,1509,21,20,76,25
1,2020,Mideast,New Jersey,1628,0,25,65,53
2,2020,Mideast,New Jersey,1587,0,37,70,40
3,2020,Mideast,New Jersey,1489,0,36,73,49
4,2020,Mideast,New Jersey,1580,0,34,64,39
5,2020,Mideast,New Jersey,1515,0,29,59,40
6,2020,Mideast,New Jersey,1491,0,26,58,43
7,2020,Mideast,New Jersey,1485,0,28,70,38
8,2020,Mideast,New Jersey,1493,0,32,71,59
9,2020,Mideast,New Jersey,1571,0,36,62,48
10,2020,Mideast,New Jersey,1506,0,38,60,43
11,2020,Mideast,New Jersey,1475,,34,53,39
12,2020,Mideast,New Jersey,1595,36,43,65,43
13,2020,Mideast,New Jersey,2120,284,85,73,69
14,2020,Mideast,New Jersey,3475,1232,111,108,73
15,2020,Mideast,New Jersey,4756,2346,126,116,94
16,2020,Mideast,New Jersey,4719,2480,84,95,65
17,2020,Mideast,New Jersey,3960,2031,75,100,67
18,2020,Mideast,New Jersey,3172,1547,60,66,50
19,2020,Mideast,New Jersey,2594,1114,39,51,46
20,2020,Mideast,New Jersey,2273,820,34,57,38
21,2020,Mideast,New Jersey,1924,549,28,48,30
22,2020,Mideast,New Jersey,1739,394,31,49,34
23,2020,Mideast,New Jersey,1574,308,21,44,30
24,2020,Mideast,New Jersey,1475,219,17,47,30
25,2020,Mideast,New Jersey,1404,160,22,42,31
26,2020,Mideast,New Jersey,1428,138,19,51,32
27,2020,Mideast,New Jersey,1396,99,15,55,31
28,2020,Mideast,New Jersey,1374,85,10,42,27
29,2020,Mideast,New Jersey,1311,59,22,38,17
30,2020,Mideast,New Jersey,1351,63,21,31,25
31,2020,Mideast,New Jersey,1361,58,14,31,39
32,2020,Mideast,New Jersey,1289,35,28,43,38
33,2020,Mideast,New Jersey,1107,31,18,36,26
1,2020,Mideast,New York (all),3318,0,141,166,67
2,2020,Mideast,New York (all),3230,0,111,175,58
3,2020,Mideast,New York (all),3296,0,123,158,56
4,2020,Mideast,New York (all),3203,0,117,125,69
5,2020,Mideast,New York (all),3198,0,107,148,68
6,2020,Mideast,New York (all),3224,0,122,151,67
7,2020,Mideast,New York (all),3108,0,105,130,43
8,2020,Mideast,New York (all),3111,0,105,165,52
9,2020,Mideast,New York (all),3267,0,100,153,59
10,2020,Mideast,New York (all),3180,0,112,133,36
11,2020,Mideast,New York (all),3118,,113,149,43
12,2020,Mideast,New York (all),3531,165,144,139,65
13,2020,Mideast,New York (all),5343,1271,217,224,83
14,2020,Mideast,New York (all),10060,4425,364,258,100
15,2020,Mideast,New York (all),12521,6850,287,243,101
16,2020,Mideast,New York (all),10363,5911,162,198,87
17,2020,Mideast,New York (all),7786,4210,126,131,64
18,2020,Mideast,New York (all),5975,2857,111,123,49
19,2020,Mideast,New York (all),4852,1927,78,110,52
20,2020,Mideast,New York (all),4108,1284,68,104,32
21,2020,Mideast,New York (all),3548,862,76,108,55
22,2020,Mideast,New York (all),3275,608,56,99,39
23,2020,Mideast,New York (all),3079,458,48,93,38
24,2020,Mideast,New York (all),2990,319,64,91,49
25,2020,Mideast,New York (all),2878,214,64,103,37
26,2020,Mideast,New York (all),2993,145,58,93,33
27,2020,Mideast,New York (all),2851,110,62,94,49
28,2020,Mideast,New York (all),2889,104,58,110,29
29,2020,Mideast,New York (all),2794,108,52,102,27
30,2020,Mideast,New York (all),2808,86,51,105,28
31,2020,Mideast,New York (all),2828,70,62,122,44
32,2020,Mideast,New York (all),2770,49,54,99,41
33,2020,Mideast,New York (all),2651,61,51,98,41
1,2020,Mideast,Pennsylvania,2759,0,81,135,56
2,2020,Mideast,Pennsylvania,2818,0,60,151,58
3,2020,Mideast,Pennsylvania,2826,0,70,140,56
4,2020,Mideast,Pennsylvania,2733,0,70,123,62
5,2020,Mideast,Pennsylvania,2729,0,66,127,47
6,2020,Mideast,Pennsylvania,2742,0,62,142,63
7,2020,Mideast,Pennsylvania,2761,0,67,144,57
8,2020,Mideast,Pennsylvania,2654,0,52,143,42
9,2020,Mideast,Pennsylvania,2723,,79,127,41
10,2020,Mideast,Pennsylvania,2640,0,72,152,50
11,2020,Mideast,Pennsylvania,2439,0,81,132,36
12,2020,Mideast,Pennsylvania,2335,,87,110,39
13,2020,Mideast,Pennsylvania,2654,52,74,149,49
14,2020,Mideast,Pennsylvania,2922,210,66,129,46
15,2020,Mideast,Pennsylvania,3367,634,70,124,46
16,2020,Mideast,Pennsylvania,3658,911,64,112,38
17,2020,Mideast,Pennsylvania,3720,1070,50,133,34
18,2020,Mideast,Pennsylvania,3499,942,44,125,37
19,2020,Mideast,Pennsylvania,3363,847,32,100,40
20,2020,Mideast,Pennsylvania,3203,709,30,85,35
21,2020,Mideast,Pennsylvania,2898,505,36,97,32
22,2020,Mideast,Pennsylvania,2719,353,34,102,29
23,2020,Mideast,Pennsylvania,2643,270,21,99,42
24,2020,Mideast,Pennsylvania,2497,204,31,98,31
25,2020,Mideast,Pennsylvania,2537,182,28,98,35
26,2020,Mideast,Pennsylvania,2480,143,31,82,33
27,2020,Mideast,Pennsylvania,2509,134,32,95,36
28,2020,Mideast,Pennsylvania,2572,124,20,98,37
29,2020,Mideast,Pennsylvania,2464,106,22,102,38
30,2020,Mideast,Pennsylvania,2415,95,19,95,27
31,2020,Mideast,Pennsylvania,2497,98,26,92,28
32,2020,Mideast,Pennsylvania,2335,128,33,91,34
33,2020,Mideast,Pennsylvania,1977,93,13,80,30
1,2020,Southwest,Texas,4324,0,116,225,91
2,2020,Southwest,Texas,4560,0,122,257,75
3,2020,Southwest,Texas,4249,0,100,240,78
4,2020,Southwest,Texas,4124,0,90,198,58
5,2020,Southwest,Texas,4171,0,83,218,63
6,2020,Southwest,Texas,4319,0,98,220,67
7,2020,Southwest,Texas,4338,0,97,249,60
8,2020,Southwest,Texas,4212,0,100,247,59
9,2020,Southwest,Texas,4144,,82,258,66
10,2020,Southwest,Texas,4165,,93,224,65
11,2020,Southwest,Texas,4162,0,89,215,59
12,2020,Southwest,Texas,4245,10,91,217,50
13,2020,Southwest,Texas,4252,44,88,218,59
14,2020,Southwest,Texas,4178,127,91,221,64
15,2020,Southwest,Texas,4258,205,84,204,53
16,2020,Southwest,Texas,4285,236,57,210,49
17,2020,Southwest,Texas,4446,242,71,218,47
18,2020,Southwest,Texas,4248,235,69,183,64
19,2020,Southwest,Texas,4266,227,60,214,53
20,2020,Southwest,Texas,4259,249,52,192,66
21,2020,Southwest,Texas,4234,170,67,202,43
22,2020,Southwest,Texas,4124,214,55,205,59
23,2020,Southwest,Texas,4199,179,55,173,43
24,2020,Southwest,Texas,4364,223,53,185,41
25,2020,Southwest,Texas,4452,296,76,193,53
26,2020,Southwest,Texas,4486,427,57,181,49
27,2020,Southwest,Texas,4913,776,36,206,46
28,2020,Southwest,Texas,5557,1192,66,169,40
29,2020,Southwest,Texas,5878,1575,65,203,49
30,2020,Southwest,Texas,5750,1609,55,196,48
31,2020,Southwest,Texas,5036,1262,61,177,53
32,2020,Southwest,Texas,3982,726,52,153,36
33,2020,Southwest,Texas,2593,224,29,108,41
1,2020,United States,United States,60085,1,1553,3494,1063
2,2020,United States,United States,60588,0,1524,3700,1034
3,2020,United States,United States,59169,2,1481,3520,989
4,2020,United States,United States,58742,1,1480,3372,967
5,2020,United States,United States,58513,0,1407,3285,969
6,2020,United States,U.S.,59261,1,1459,3391,973
7,2020,United States,United States,58659,0,1502,3469,973
8,2020,United States,United States,58690,5,1457,3445,964
9,2020,United States,United States,59125,10,1502,3438,1006
10,2020,United States,United States,59417,35,1598,3448,995
11,2020,United States,United States,58184,52,1616,3360,983
12,2020,United States,United States,58820,570,1742,3350,1007
13,2020,United States,United States,62782,3154,1784,3510,1054
14,2020,United States,United States,72015,9998,1863,3529,1030
15,2020,United States,United States,78765,16153,1627,3429,1027
16,2020,United States,United States,76436,17036,1245,3181,936
17,2020,United States,United States,73503,15388,1144,2976,905
18,2020,United States,United States,68902,13111,1015,2914,857
19,2020,United States,United States,66471,11134,864,2794,870
20,2020,United States,United States,64099,9129,854,2750,785
21,2020,United States,United States,61187,7124,802,2651,750
22,2020,United States,United States,59184,6076,752,2608,751
23,2020,United States,United States,58266,4945,703,2534,767
24,2020,United States,United States,57317,4156,680,2478,736
25,2020,United States,United States,57046,3752,743,2533,755
26,2020,United States,United States,57275,3707,712,2480,757
27,2020,United States,United States,57745,4336,642,2545,763
28,2020,United States,United States,58499,5424,697,2455,720
29,2020,United States,United States,58667,6623,718,2462,671
30,2020,United States,United States,58450,7286,716,2354,667
31,2020,United States,United States,56043,6610,688,2429,691
32,2020,United States,United States,51050,5314,637,2145,593
33,2020,United States,United States,39383,2769,481,1782,517
1,2020,Southeast,Virginia,1428,0,30,80,20
2,2020,Southeast,Virginia,1534,0,32,95,35
3,2020,Southeast,Virginia,1419,0,26,72,25
4,2020,Southeast,Virginia,1280,0,31,56,25
5,2020,Southeast,Virginia,1422,0,28,57,21
6,2020,Southeast,Virginia,1524,0,24,72,37
7,2020,Southeast,Virginia,1376,0,23,89,35
8,2020,Southeast,Virginia,1443,0,29,80,29
9,2020,Southeast,Virginia,1386,0,30,74,24
10,2020,Southeast,Virginia,1479,0,29,83,29
11,2020,Southeast,Virginia,1433,,34,77,24
12,2020,Southeast,Virginia,1453,,30,69,21
13,2020,Southeast,Virginia,1517,28,49,87,26
14,2020,Southeast,Virginia,1467,57,39,78,25
15,2020,Southeast,Virginia,1619,102,35,71,26
16,2020,Southeast,Virginia,1598,195,31,68,32
17,2020,Southeast,Virginia,1628,220,18,55,30
18,2020,Southeast,Virginia,1666,251,20,73,26
19,2020,Southeast,Virginia,1589,234,17,77,24
20,2020,Southeast,Virginia,1565,199,18,65,18
21,2020,Southeast,Virginia,1461,167,12,65,15
22,2020,Southeast,Virginia,1440,159,13,62,19
23,2020,Southeast,Virginia,1407,103,17,53,31
24,2020,Southeast,Virginia,1418,109,18,69,16
25,2020,Southeast,Virginia,1285,86,18,43,19
26,2020,Southeast,Virginia,1444,78,13,56,18
27,2020,Southeast,Virginia,1375,55,19,50,25
28,2020,Southeast,Virginia,1465,64,18,61,22
29,2020,Southeast,Virginia,1362,94,21,65,17
30,2020,Southeast,Virginia,1417,86,11,51,22
31,2020,Southeast,Virginia,1378,95,19,61,15
32,2020,Southeast,Virginia,1350,77,16,51,21
33,2020,Southeast,Virginia,1039,53,17,35,14
1,2020,Far West,Washington,1184,0,30,62,24
2,2020,Far West,Washington,1244,0,31,66,19
3,2020,Far West,Washington,1221,0,24,62,19
4,2020,Far West,Washington,1193,0,20,64,15
5,2020,Far West,Washington,1198,0,19,60,23
6,2020,Far West,Washington,1178,0,26,70,14
7,2020,Far West,Washington,1179,0,31,62,20
8,2020,Far West,Washington,1115,0,19,56,11
9,2020,Far West,Washington,1134,,24,61,15
10,2020,Far West,Washington,1208,21,30,67,15
11,2020,Far West,Washington,1166,26,28,64,25
12,2020,Far West,Washington,1222,62,41,60,25
13,2020,Far West,Washington,1291,116,27,62,11
14,2020,Far West,Washington,1304,155,25,64,17
15,2020,Far West,   Washington,1303,141,13,61,18
16,2020,Far West,Wash ,1244,117,21,46,21
17,2020,Far West,Washington,1228,105,12,46,
18,2020,Far West,Washington,1151,77,15,54,
19,2020,Far West,Washington,1206,86,16,57,19
20,2020,Far West,Washington,1134,68,15,50,11
21,2020,Far West,Washington,1106,45,,33,13
22,2020,Far West,Washington,1049,35,,47,14
23,2020,Far West,Washington,1050,33,,57,15
24,2020,Far West,Washington,1093,42,,43,
25,2020,Far West,Washington,1125,31,,55,18
26,2020,Far West,Washington,1080,38,11,43,10
27,2020,Far West,Washington,1117,43,,45,13
28,2020,Far West,Washington,1151,54,,42,13
29,2020,Far West,Washington,1166,49,11,48,16
30,2020,Far West,Washington,1163,71,11,47,
31,2020,Far West,Washington,1188,86,11,49,11
32,2020,Far West,Washington,1093,57,,38,13
33,2020,Far West,Washington,813,25,,26,14
